product_id,product_name,location_id,year_month,inventory_quantity,inventory_status,snapshot_date
PLT-YF3,PILOT,SZK,2025-06,170,available,2025-06-30
PLT-YF3,PILOT,SZK,2025-07,210,available,2025-07-31
PLT-YF3,PILOT,SZK,2025-08,180,available,2025-08-31
PLT-YF3,PILOT,SZK,2025-09,35,available,2025-09-30
PLT-YF3,PILOT,SZK,2025-10,190,available,2025-10-31
PLT-YF3,PILOT,SZK,2025-11,220,available,2025-11-30
RDG-YF6,RIDGELINE,KMM,2024-12,180,available,2024-12-31
RDG-YF6,RIDGELINE,KMM,2025-01,220,available,2025-01-31
RDG-YF6,RIDGELINE,KMM,2025-02,10,available,2025-02-28
RDG-YF6,RIDGELINE,KMM,2025-03,200,available,2025-03-31
RDG-YF6,RIDGELINE,KMM,2025-04,0,available,2025-04-30
RDG-YF6,RIDGELINE,KMM,2025-05,190,available,2025-05-31
RDG-YF6,RIDGELINE,KMM,2025-06,240,available,2025-06-30
RDG-YF6,RIDGELINE,KMM,2025-07,210,available,2025-07-31
RDG-YF6,RIDGELINE,KMM,2025-08,25,available,2025-08-31
RDG-YF6,RIDGELINE,KMM,2025-09,180,available,2025-09-30
RDG-YF6,RIDGELINE,KMM,2025-10,230,available,2025-10-31
RDG-YF6,RIDGELINE,KMM,2025-11,220,available,2025-11-30
HDE-ZC1,Honda e,HTB,2024-12,220,available,2024-12-31
HDE-ZC1,Honda e,HTB,2025-01,240,available,2025-01-31
HDE-ZC1,Honda e,HTB,2025-02,270,available,2025-02-28
HDE-ZC1,Honda e,HTB,2025-03,295,available,2025-03-31
HDE-ZC1,Honda e,HTB,2025-04,310,available,2025-04-30
HDE-ZC1,Honda e,HTB,2025-05,340,available,2025-05-31
HDE-ZC1,Honda e,HTB,2025-06,365,available,2025-06-30
HDE-ZC1,Honda e,HTB,2025-07,380,available,2025-07-31
HDE-ZC1,Honda e,HTB,2025-08,410,available,2025-08-31
HDE-ZC1,Honda e,HTB,2025-09,435,available,2025-09-30
HDE-ZC1,Honda e,HTB,2025-10,460,available,2025-10-31
HDE-ZC1,Honda e,HTB,2025-11,480,available,2025-11-30
NOE-JG4,N-ONE e:,HTB,2024-12,190,available,2024-12-31
NOE-JG4,N-ONE e:,HTB,2025-01,210,available,2025-01-31
NOE-JG4,N-ONE e:,HTB,2025-02,235,available,2025-02-28
NOE-JG4,N-ONE e:,HTB,2025-03,260,available,2025-03-31
NOE-JG4,N-ONE e:,HTB,2025-04,280,available,2025-04-30
NOE-JG4,N-ONE e:,HTB,2025-05,305,available,2025-05-31
NOE-JG4,N-ONE e:,HTB,2025-06,330,available,2025-06-30
NOE-JG4,N-ONE e:,HTB,2025-07,350,available,2025-07-31
NOE-JG4,N-ONE e:,HTB,2025-08,375,available,2025-08-31
NOE-JG4,N-ONE e:,HTB,2025-09,400,available,2025-09-30
NOE-JG4,N-ONE e:,HTB,2025-10,425,available,2025-10-31
NOE-JG4,N-ONE e:,HTB,2025-11,445,available,2025-11-30
ENP-ENP1,e:NP1,HTB,2024-12,300,available,2024-12-31
ENP-ENP1,e:NP1,HTB,2025-01,325,available,2025-01-31
ENP-ENP1,e:NP1,HTB,2025-02,355,available,2025-02-28
ENP-ENP1,e:NP1,HTB,2025-03,380,available,2025-03-31
ENP-ENP1,e:NP1,HTB,2025-04,405,available,2025-04-30
ENP-ENP1,e:NP1,HTB,2025-05,435,available,2025-05-31
ENP-ENP1,e:NP1,HTB,2025-06,460,available,2025-06-30
ENP-ENP1,e:NP1,HTB,2025-07,485,available,2025-07-31
ENP-ENP1,e:NP1,HTB,2025-08,510,available,2025-08-31
ENP-ENP1,e:NP1,HTB,2025-09,540,available,2025-09-30
ENP-ENP1,e:NP1,HTB,2025-10,565,available,2025-10-31
ENP-ENP1,e:NP1,HTB,2025-11,590,available,2025-11-30
PRO-ZC5,Prologue,HTB,2024-12,110,available,2024-12-31
PRO-ZC5,Prologue,HTB,2025-01,135,available,2025-01-31
PRO-ZC5,Prologue,HTB,2025-02,165,available,2025-02-28
PRO-ZC5,Prologue,HTB,2025-03,190,available,2025-03-31
PRO-ZC5,Prologue,HTB,2025-04,220,available,2025-04-30
PRO-ZC5,Prologue,HTB,2025-05,250,available,2025-05-31
PRO-ZC5,Prologue,HTB,2025-06,280,available,2025-06-30
PRO-ZC5,Prologue,HTB,2025-07,310,available,2025-07-31
PRO-ZC5,Prologue,HTB,2025-08,345,available,2025-08-31
PRO-ZC5,Prologue,HTB,2025-09,375,available,2025-09-30
PRO-ZC5,Prologue,HTB,2025-10,410,available,2025-10-31
PRO-ZC5,Prologue,HTB,2025-11,440,available,2025-11-30




