bom_id,bom_name,product_id,site_id,production_process_id,component_product_id,component_quantity_per,component_quantity_uom,vehicle
BOM-PLT-YF3-091,PLT - SUV用リアスプリング,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,SUS-SPRING-REAR-SUV,2,EACHES,PLT
BOM-PRO-ZC5-136,PRO - プレミアムシート（レザー）,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,INT-SEAT-PREMIUM-LEATHER,5,EACHES,PRO
BOM-PRO-ZC5-137,PRO - プレミアムダッシュボード,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,INT-DASHBOARD-PREMIUM,1,EACHES,PRO
BOM-PRO-ZC5-138,PRO - プレミアムステアリングホイール,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,INT-STEERING-PREMIUM,1,EACHES,PRO
BOM-PRO-ZC5-139,PRO - プレミアムセンターコンソール,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,INT-CONSOLE-PREMIUM,1,EACHES,PRO
BOM-PRO-ZC5-140,PRO - プレミアムフロアカーペット,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,INT-CARPET-PREMIUM,1,SET,PRO
BOM-PRO-ZC5-141,PRO - プレミアム用フロントエアサスペンション,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,SUS-AIRSUSP-FRONT-PREMIUM,2,EACHES,PRO
BOM-PRO-ZC5-142,PRO - プレミアム用リアエアサスペンション,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,SUS-AIRSUSP-REAR-PREMIUM,2,EACHES,PRO
BOM-PRO-ZC5-143,PRO - アダプティブダンパー,PRO-ZC5,SZK,PROC-PRO-ZC5-ASM-SZK,SUS-DAMPER-ADAPTIVE,4,EACHES,PRO
BOM-PSP-YF7-074,PSP - SUVシート（レザー）,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,INT-SEAT-SUV-LEATHER,5,EACHES,PSP
BOM-PSP-YF7-075,PSP - SUVダッシュボード,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,INT-DASHBOARD-SUV,1,EACHES,PSP
BOM-PSP-YF7-076,PSP - レザーステアリングホイール,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,INT-STEERING-LEATHER,1,EACHES,PSP
BOM-PSP-YF7-077,PSP - SUVセンターコンソール,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,INT-CONSOLE-SUV,1,EACHES,PSP
BOM-PSP-YF7-078,PSP - プレミアムフロアカーペット,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,INT-CARPET-PREMIUM,1,SET,PSP
BOM-PSP-YF7-079,PSP - SUV用フロントストラット,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,SUS-STRUT-FRONT-SUV,2,EACHES,PSP
BOM-PSP-YF7-080,PSP - SUV用リアショックアブソーバー,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,SUS-SHOCK-REAR-SUV,2,EACHES,PSP
BOM-PSP-YF7-081,PSP - SUV用フロントスプリング,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,SUS-SPRING-FRONT-SUV,2,EACHES,PSP
BOM-PSP-YF7-082,PSP - SUV用リアスプリング,PSP-YF7,HTB,PROC-PSP-YF7-ASM-HTB,SUS-SPRING-REAR-SUV,2,EACHES,PSP
BOM-RDG-YF6-092,RDG - SUVシート（レザー）,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,INT-SEAT-SUV-LEATHER,5,EACHES,RDG
BOM-RDG-YF6-093,RDG - SUVダッシュボード,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,INT-DASHBOARD-SUV,1,EACHES,RDG
BOM-RDG-YF6-094,RDG - レザーステアリングホイール,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,INT-STEERING-LEATHER,1,EACHES,RDG
BOM-RDG-YF6-095,RDG - SUVセンターコンソール,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,INT-CONSOLE-SUV,1,EACHES,RDG
BOM-RDG-YF6-096,RDG - プレミアムフロアカーペット,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,INT-CARPET-PREMIUM,1,SET,RDG
BOM-RDG-YF6-097,RDG - SUV用フロントストラット,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,SUS-STRUT-FRONT-SUV,2,EACHES,RDG
BOM-RDG-YF6-098,RDG - SUV用リアショックアブソーバー,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,SUS-SHOCK-REAR-SUV,2,EACHES,RDG
BOM-RDG-YF6-099,RDG - SUV用フロントスプリング,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,SUS-SPRING-FRONT-SUV,2,EACHES,RDG
BOM-RDG-YF6-100,RDG - SUV用リアスプリング,RDG-YF6,KMM,PROC-RDG-YF6-ASM-KMM,SUS-SPRING-REAR-SUV,2,EACHES,RDG
BOM-SWN-RP6-038,SWN - ミニバンシート（ファブリック）,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,INT-SEAT-MINIVAN-CLOTH,7,EACHES,SWN
BOM-SWN-RP6-039,SWN - ミニバンダッシュボード,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,INT-DASHBOARD-MINIVAN,1,EACHES,SWN
BOM-SWN-RP6-040,SWN - 標準ステアリングホイール,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,INT-STEERING-STD,1,EACHES,SWN
BOM-SWN-RP6-041,SWN - ミニバンセンターコンソール,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,INT-CONSOLE-MINIVAN,1,EACHES,SWN
BOM-SWN-RP6-042,SWN - 標準フロアカーペット,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,INT-CARPET-STD,1,SET,SWN
BOM-SWN-RP6-043,SWN - ミニバン用フロントストラット,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,SUS-STRUT-FRONT-MINIVAN,2,EACHES,SWN
BOM-SWN-RP6-044,SWN - ミニバン用リアショックアブソーバー,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,SUS-SHOCK-REAR-MINIVAN,2,EACHES,SWN
BOM-SWN-RP6-045,SWN - ミニバン用フロントスプリング,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,SUS-SPRING-FRONT-MINIVAN,2,EACHES,SWN
BOM-SWN-RP6-046,SWN - ミニバン用リアスプリング,SWN-RP6,STM,PROC-SWN-RP6-ASM-STM,SUS-SPRING-REAR-MINIVAN,2,EACHES,SWN
BOM-VZL-RV3-056,VZL - SUVシート（レザー）,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,INT-SEAT-SUV-LEATHER,5,EACHES,VZL
BOM-VZL-RV3-057,VZL - SUVダッシュボード,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,INT-DASHBOARD-SUV,1,EACHES,VZL
BOM-VZL-RV3-058,VZL - レザーステアリングホイール,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,INT-STEERING-LEATHER,1,EACHES,VZL
BOM-VZL-RV3-059,VZL - SUVセンターコンソール,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,INT-CONSOLE-SUV,1,EACHES,VZL
BOM-VZL-RV3-060,VZL - プレミアムフロアカーペット,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,INT-CARPET-PREMIUM,1,SET,VZL
BOM-VZL-RV3-061,VZL - SUV用フロントストラット,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,SUS-STRUT-FRONT-SUV,2,EACHES,VZL
BOM-VZL-RV3-062,VZL - SUV用リアショックアブソーバー,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,SUS-SHOCK-REAR-SUV,2,EACHES,VZL
BOM-VZL-RV3-063,VZL - SUV用フロントスプリング,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,SUS-SPRING-FRONT-SUV,2,EACHES,VZL
BOM-VZL-RV3-064,VZL - SUV用リアスプリング,VZL-RV3,HTB,PROC-VZL-RV3-ASM-HTB,SUS-SPRING-REAR-SUV,2,EACHES,VZL
BOM-ZRV-RZ3-020,ZRV - コンパクトシート（ファブリック）,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,INT-SEAT-COMPACT-CLOTH,4,EACHES,ZRV
BOM-ZRV-RZ3-021,ZRV - コンパクトダッシュボード,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,INT-DASHBOARD-COMPACT,1,EACHES,ZRV
BOM-ZRV-RZ3-022,ZRV - 標準ステアリングホイール,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,INT-STEERING-STD,1,EACHES,ZRV
BOM-ZRV-RZ3-023,ZRV - コンパクトセンターコンソール,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,INT-CONSOLE-COMPACT,1,EACHES,ZRV
BOM-ZRV-RZ3-024,ZRV - 標準フロアカーペット,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,INT-CARPET-STD,1,SET,ZRV
BOM-ZRV-RZ3-025,ZRV - コンパクト用フロントストラット,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,SUS-STRUT-FRONT-COMPACT,2,EACHES,ZRV
BOM-ZRV-RZ3-026,ZRV - コンパクト用リアショックアブソーバー,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,SUS-SHOCK-REAR-COMPACT,2,EACHES,ZRV
BOM-ZRV-RZ3-027,ZRV - コンパクト用フロントスプリング,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,SUS-SPRING-FRONT-COMPACT,2,EACHES,ZRV
BOM-ZRV-RZ3-028,ZRV - コンパクト用リアスプリング,ZRV-RZ3,STM,PROC-ZRV-RZ3-ASM-STM,SUS-SPRING-REAR-COMPACT,2,EACHES,ZRV
