partner_id,partner_name,partner_type,partner_category,tax_id,address,city,state_province,postal_code,country,contact_person,contact_email,contact_phone,payment_terms,credit_limit,currency,is_active,account_group,region,valid_from,valid_to
DEAL-001,Honda Cars 東京中央,dealer,authorized_dealer,4013-01-123456,八重洲2-1-1,中央区,東京都,104-0028,JP,田辺一郎,i.tanabe@hondacars-tokyo.example.com,03-5555-1001,NET30,100000000,JPY,active,Honda営業本部,domestic,2015-04-01,9999-12-31
DEAL-002,Honda Cars 大阪,dealer,authorized_dealer,5120-01-234567,北浜東1-10,中央区,大阪府,540-0031,JP,岡田健太,k.okada@hondacars-osaka.example.com,06-6555-2001,NET30,120000000,JPY,active,Honda営業本部,domestic,2015-04-01,9999-12-31
DEAL-003,Honda Cars 横浜,dealer,authorized_dealer,6010-01-345678,みなとみらい3-5-1,横浜市,神奈川県,220-0012,JP,松本美穂,m.matsumoto@hondacars-yokohama.example.com,045-555-3001,NET30,90000000,JPY,active,Honda営業本部,domestic,2015-04-01,9999-12-31
DEAL-004,Honda Cars 名古屋,dealer,authorized_dealer,7230-01-456789,栄3-15-33,名古屋市,愛知県,460-0008,JP,鈴木雅彦,m.suzuki@hondacars-nagoya.example.com,052-555-4001,NET30,110000000,JPY,active,Honda営業本部,domestic,2015-04-01,9999-12-31
DEAL-005,Honda Cars 福岡,dealer,authorized_dealer,8290-01-567890,天神1-1-1,福岡市,福岡県,810-0001,JP,佐々木裕太,y.sasaki@hondacars-fukuoka.example.com,092-555-5001,NET30,95000000,JPY,active,Honda営業本部,domestic,2015-04-01,9999-12-31
DEAL-006,Honda of America,dealer,authorized_dealer,US12-3456789,5000 Honda Parkway,Los Angeles,California,90001,US,John Smith,j.smith@honda-america.example.com,+1-310-555-0001,NET30,50000000,USD,active,Honda営業本部,overseas,2018-01-10,9999-12-31
DEAL-007,Honda Europe,dealer,authorized_dealer,GB123456789,470 London Road,Slough,Berkshire,SL3 8QY,GB,James Wilson,j.wilson@honda-europe.example.com,+44-1753-555001,NET30,45000000,GBP,active,Honda営業本部,overseas,2018-03-15,9999-12-31
DEAL-008,Honda China,dealer,authorized_dealer,CN91110000600037341Q,Chaoyang District 100,Beijing,Beijing,100020,CN,Zhang Li,l.zhang@honda-china.example.com,+86-10-6555-0001,NET30,80000000,CNY,active,Honda営業本部,overseas,2019-05-20,9999-12-31
LOG-001,日本通運,logistics_provider,logistics_carrier,1010-01-009957,東新橋1-9-3,港区,東京都,105-8322,JP,林田修,o.hayashida@nittsu.example.com,03-6251-1111,NET30,30000000,JPY,active,物流部門,domestic,2017-01-01,9999-12-31
LOG-002,ヤマト運輸,logistics_provider,logistics_carrier,2010-01-008952,銀座2-16-10,中央区,東京都,104-8125,JP,森本健一,k.morimoto@kuronekoyamato.example.com,03-3541-3411,NET30,35000000,JPY,active,物流部門,domestic,2017-01-01,9999-12-31
LOG-003,佐川急便,logistics_provider,logistics_carrier,3600-01-009506,南港北2-1-19,大阪市,大阪府,559-0034,JP,斎藤誠,m.saito@sagawa-exp.example.com,06-6569-0111,NET30,32000000,JPY,active,物流部門,domestic,2017-01-01,9999-12-31
CUST-001,トヨタレンタリース,customer,corporate_customer,4130-01-012345,京橋1-1-1,中央区,東京都,104-0031,JP,田中正樹,m.tanaka@toyota-rental.example.com,03-5555-8001,NET45,80000000,JPY,active,法人営業部,domestic,2020-06-01,9999-12-31
CUST-002,オリックス自動車,customer,corporate_customer,5105-01-023456,芝公園2-4-1,港区,東京都,105-0011,JP,木村康平,k.kimura@orix-auto.example.com,03-5555-9001,NET45,75000000,JPY,active,法人営業部,domestic,2021-03-15,9999-12-31




