year_month,location_id,location_name,total_revenue,ev_revenue,ev_sales_share,created_at
2022-07,HMM,浜松製作所,33702831,14213062,42.17,2025-12-04 14:09:47
2022-07,HTB,ホンダオートボディー,97631871,58074880,59.48,2025-12-04 14:09:47
2022-07,KMM,熊本製作所,75037024,25125210,33.48,2025-12-04 14:09:47
2022-07,STM,埼玉製作所,33210485,19561150,58.9,2025-12-04 14:09:47
2022-07,SZK,鈴鹿製作所,236592463,83628384,35.35,2025-12-04 14:09:47
2022-08,HMM,浜松製作所,16851416,5446922,32.32,2025-12-04 14:09:47
2022-08,HTB,ホンダオートボディー,162972968,59836530,36.72,2025-12-04 14:09:47
2022-08,KMM,熊本製作所,58610236,7824460,13.35,2025-12-04 14:09:47
2022-08,STM,埼玉製作所,198114413,69102338,34.88,2025-12-04 14:09:47
2022-08,SZK,鈴鹿製作所,76218478,23226294,30.47,2025-12-04 14:09:47
2022-09,HMM,浜松製作所,58299090,3829867,6.57,2025-12-04 14:09:47
2022-09,HTB,ホンダオートボディー,146221311,93014985,63.61,2025-12-04 14:09:47
2022-09,KMM,熊本製作所,51609401,9270383,17.96,2025-12-04 14:09:47
2022-09,STM,埼玉製作所,290877742,140025815,48.14,2025-12-04 14:09:47
2022-09,SZK,鈴鹿製作所,154027476,29223216,18.97,2025-12-04 14:09:47
2022-10,HMM,浜松製作所,85448592,42128537,49.3,2025-12-04 14:09:47
2022-10,HTB,ホンダオートボディー,83026213,59726710,71.94,2025-12-04 14:09:47
2022-10,KMM,熊本製作所,57292432,23386440,40.82,2025-12-04 14:09:47
2022-10,STM,埼玉製作所,229929305,11128120,4.84,2025-12-04 14:09:47
2022-10,SZK,鈴鹿製作所,233213766,148446030,63.65,2025-12-04 14:09:47
2022-11,HMM,浜松製作所,27489937,0,0.0,2025-12-04 14:09:47
2022-11,HTB,ホンダオートボディー,164733697,17616473,10.69,2025-12-04 14:09:47
2022-11,KMM,熊本製作所,44553663,7824460,17.56,2025-12-04 14:09:47
2022-11,STM,埼玉製作所,241698034,146614833,60.66,2025-12-04 14:09:47
2022-11,SZK,鈴鹿製作所,99974641,9376541,9.38,2025-12-04 14:09:47
2022-12,HMM,浜松製作所,74195094,56256491,75.82,2025-12-04 14:09:47
2022-12,HTB,ホンダオートボディー,199772655,100505420,50.31,2025-12-04 14:09:47
2022-12,KMM,熊本製作所,62595677,31210900,49.86,2025-12-04 14:09:47
2022-12,STM,埼玉製作所,60248339,6694260,11.11,2025-12-04 14:09:47
2022-12,SZK,鈴鹿製作所,32516809,0,0.0,2025-12-04 14:09:47
2023-01,HMM,浜松製作所,54554333,5446922,9.98,2025-12-04 14:09:47
2023-01,HTB,ホンダオートボディー,175755683,23473380,13.36,2025-12-04 14:09:47
2023-01,KMM,熊本製作所,38861482,5564060,14.32,2025-12-04 14:09:47
2023-01,STM,埼玉製作所,243057023,26777040,11.02,2025-12-04 14:09:47
2023-01,SZK,鈴鹿製作所,117788785,37882286,32.16,2025-12-04 14:09:47
2023-02,HMM,浜松製作所,43490269,30043179,69.08,2025-12-04 14:09:47
2023-02,HTB,ホンダオートボディー,72071970,45816560,63.57,2025-12-04 14:09:47
2023-02,KMM,熊本製作所,57727123,13910150,24.1,2025-12-04 14:09:47
2023-02,STM,埼玉製作所,266507511,56326960,21.14,2025-12-04 14:09:47
2023-02,SZK,鈴鹿製作所,85529125,0,0.0,2025-12-04 14:09:47
2023-03,HMM,浜松製作所,39915727,19064227,47.76,2025-12-04 14:09:47
2023-03,HTB,ホンダオートボディー,96897023,6694260,6.91,2025-12-04 14:09:47
2023-03,KMM,熊本製作所,83026210,14518720,17.49,2025-12-04 14:09:47
2023-03,STM,埼玉製作所,43643097,6694260,15.34,2025-12-04 14:09:47
2023-03,SZK,鈴鹿製作所,215180900,89592360,41.64,2025-12-04 14:09:47
2023-04,HMM,浜松製作所,49618057,30043179,60.55,2025-12-04 14:09:47
2023-04,HTB,ホンダオートボディー,85610570,10606490,12.39,2025-12-04 14:09:47
2023-04,KMM,熊本製作所,22777872,11736690,51.53,2025-12-04 14:09:47
2023-04,STM,埼玉製作所,192747110,159994194,83.01,2025-12-04 14:09:47
2023-04,SZK,鈴鹿製作所,57635608,0,0.0,2025-12-04 14:09:47
2023-05,HMM,浜松製作所,42043433,2723461,6.48,2025-12-04 14:09:47
2023-05,HTB,ホンダオートボディー,188973982,62952590,33.31,2025-12-04 14:09:47
2023-05,KMM,熊本製作所,44860237,7824460,17.44,2025-12-04 14:09:47
2023-05,STM,埼玉製作所,277265007,215895617,77.87,2025-12-04 14:09:47
2023-05,SZK,鈴鹿製作所,136324054,59996683,44.01,2025-12-04 14:09:47
2023-06,HMM,浜松製作所,80086777,59575709,74.39,2025-12-04 14:09:47
2023-06,HTB,ホンダオートボディー,68942180,34514560,50.06,2025-12-04 14:09:47
2023-06,KMM,熊本製作所,52163064,15648920,30.0,2025-12-04 14:09:47
2023-06,STM,埼玉製作所,173053269,57763735,33.38,2025-12-04 14:09:47
2023-06,SZK,鈴鹿製作所,120244107,47976298,39.9,2025-12-04 14:09:47
2023-07,HMM,浜松製作所,42298756,10893844,25.75,2025-12-04 14:09:47
2023-07,HTB,ホンダオートボディー,194146355,23386440,12.05,2025-12-04 14:09:47
2023-07,KMM,熊本製作所,82939274,43034530,51.89,2025-12-04 14:09:47
2023-07,STM,埼玉製作所,227398941,151767073,66.74,2025-12-04 14:09:47
2023-07,SZK,鈴鹿製作所,227757672,73930628,32.46,2025-12-04 14:09:47
2023-08,HMM,浜松製作所,35915644,9276789,25.83,2025-12-04 14:09:47
2023-08,HTB,ホンダオートボディー,224290229,0,0.0,2025-12-04 14:09:47
2023-08,KMM,熊本製作所,44686359,8346090,18.68,2025-12-04 14:09:47
2023-08,STM,埼玉製作所,262508360,183257107,69.81,2025-12-04 14:09:47
2023-08,SZK,鈴鹿製作所,49119309,30280206,61.65,2025-12-04 14:09:47
2023-09,HMM,浜松製作所,47660568,38213562,80.18,2025-12-04 14:09:47
2023-09,HTB,ホンダオートボディー,146404344,30085280,20.55,2025-12-04 14:09:47
2023-09,KMM,熊本製作所,53554079,19561150,36.53,2025-12-04 14:09:47
2023-09,STM,埼玉製作所,174050763,0,0.0,2025-12-04 14:09:47
2023-09,SZK,鈴鹿製作所,261043210,178576151,68.41,2025-12-04 14:09:47
2023-10,HMM,浜松製作所,36596510,0,0.0,2025-12-04 14:09:47
2023-10,HTB,ホンダオートボディー,133260164,2782030,2.09,2025-12-04 14:09:47
2023-10,KMM,熊本製作所,61117724,6694260,10.95,2025-12-04 14:09:47
2023-10,STM,埼玉製作所,94396846,17300750,18.33,2025-12-04 14:09:47
2023-10,SZK,鈴鹿製作所,290821009,237744630,81.75,2025-12-04 14:09:47
2023-11,HMM,浜松製作所,60852336,19659984,32.31,2025-12-04 14:09:47
2023-11,HTB,ホンダオートボディー,112906498,31297840,27.72,2025-12-04 14:09:47
2023-11,KMM,熊本製作所,34775376,3912230,11.25,2025-12-04 14:09:47
2023-11,STM,埼玉製作所,152421394,36253330,23.78,2025-12-04 14:09:47
2023-11,SZK,鈴鹿製作所,249517923,66815403,26.78,2025-12-04 14:09:47
2023-12,HMM,浜松製作所,55150089,12000250,21.76,2025-12-04 14:09:47
2023-12,HTB,ホンダオートボディー,69985446,30167640,43.11,2025-12-04 14:09:47
2023-12,KMM,熊本製作所,35905576,0,0.0,2025-12-04 14:09:47
2023-12,STM,埼玉製作所,43730034,6694260,15.31,2025-12-04 14:09:47
2023-12,SZK,鈴鹿製作所,79297010,33094265,41.73,2025-12-04 14:09:47
2024-01,HMM,浜松製作所,96980747,17321214,17.86,2025-12-04 14:09:47
2024-01,HTB,ホンダオートボディー,175787609,26424162,15.03,2025-12-04 14:09:47
2024-01,KMM,熊本製作所,91824932,32438472,35.33,2025-12-04 14:09:47
2024-01,STM,埼玉製作所,271502468,207784730,76.53,2025-12-04 14:09:47
2024-01,SZK,鈴鹿製作所,100941466,32826496,32.52,2025-12-04 14:09:47
2024-02,HMM,浜松製作所,31124056,2886869,9.28,2025-12-04 14:09:47
2024-02,HTB,ホンダオートボディー,241758780,2948952,1.22,2025-12-04 14:09:47
2024-02,KMM,熊本製作所,34097259,23683772,69.46,2025-12-04 14:09:47
2024-02,STM,埼玉製作所,147015937,96587886,65.7,2025-12-04 14:09:47
2024-02,SZK,鈴鹿製作所,140469065,79460680,56.57,2025-12-04 14:09:47
2024-03,HMM,浜松製作所,48896337,40596590,83.03,2025-12-04 14:09:47
2024-03,HTB,ホンダオートボディー,44151827,24561668,55.63,2025-12-04 14:09:47
2024-03,KMM,熊本製作所,77870760,39073616,50.18,2025-12-04 14:09:47
2024-03,STM,埼玉製作所,79437395,31885544,40.14,2025-12-04 14:09:47
2024-03,SZK,鈴鹿製作所,264734410,215950602,81.57,2025-12-04 14:09:47
2024-04,HMM,浜松製作所,29092767,0,0.0,2025-12-04 14:09:47
2024-04,HTB,ホンダオートボディー,167327812,61006448,36.46,2025-12-04 14:09:47
2024-04,KMM,熊本製作所,26817030,7095916,26.46,2025-12-04 14:09:47
2024-04,STM,埼玉製作所,271386056,214895196,79.18,2025-12-04 14:09:47
2024-04,SZK,鈴鹿製作所,108376902,89061265,82.18,2025-12-04 14:09:47
2024-05,HMM,浜松製作所,55391796,15607135,28.18,2025-12-04 14:09:47
2024-05,HTB,ホンダオートボディー,181688423,4146964,2.28,2025-12-04 14:09:47
2024-05,KMM,熊本製作所,65061252,33175712,50.99,2025-12-04 14:09:47
2024-05,STM,埼玉製作所,213862079,80984630,37.87,2025-12-04 14:09:47
2024-05,SZK,鈴鹿製作所,149439114,39847718,26.66,2025-12-04 14:09:47
2024-06,HMM,浜松製作所,47272479,21380873,45.23,2025-12-04 14:09:47
2024-06,HTB,ホンダオートボディー,64784787,5897904,9.1,2025-12-04 14:09:47
2024-06,KMM,熊本製作所,26909184,2948952,10.96,2025-12-04 14:09:47
2024-06,STM,埼玉製作所,78055068,0,0.0,2025-12-04 14:09:47
2024-06,SZK,鈴鹿製作所,71572222,2917910,4.08,2025-12-04 14:09:47
2024-07,HMM,浜松製作所,96472438,18797630,19.48,2025-12-04 14:09:47
2024-07,HTB,ホンダオートボディー,130497914,21840676,16.74,2025-12-04 14:09:47
2024-07,KMM,熊本製作所,50224336,2948952,5.87,2025-12-04 14:09:47
2024-07,STM,埼玉製作所,215666384,186176864,86.33,2025-12-04 14:09:47
2024-07,SZK,鈴鹿製作所,167842900,8206624,4.89,2025-12-04 14:09:47
2024-08,HMM,浜松製作所,53948358,27244823,50.5,2025-12-04 14:09:47
2024-08,HTB,ホンダオートボディー,156812460,72802256,46.43,2025-12-04 14:09:47
2024-08,KMM,熊本製作所,95564476,16587856,17.36,2025-12-04 14:09:47
2024-08,STM,埼玉製作所,170573594,27738580,16.26,2025-12-04 14:09:47
2024-08,SZK,鈴鹿製作所,211662010,31948599,15.09,2025-12-04 14:09:47
2024-09,HMM,浜松製作所,66992621,53858145,80.39,2025-12-04 14:09:47
2024-09,HTB,ホンダオートボディー,69023905,16587856,24.03,2025-12-04 14:09:47
2024-09,KMM,熊本製作所,67733741,44971520,66.39,2025-12-04 14:09:47
2024-09,STM,埼玉製作所,166019209,78923273,47.54,2025-12-04 14:09:47
2024-09,SZK,鈴鹿製作所,201831525,34572582,17.13,2025-12-04 14:09:47
2024-10,HMM,浜松製作所,52234280,27154611,51.99,2025-12-04 14:09:47
2024-10,HTB,ホンダオートボディー,154116697,26632724,17.28,2025-12-04 14:09:47
2024-10,KMM,熊本製作所,67180810,23683772,35.25,2025-12-04 14:09:47
2024-10,STM,埼玉製作所,43404886,10044868,23.14,2025-12-04 14:09:47
2024-10,SZK,鈴鹿製作所,49239738,0,0.0,2025-12-04 14:09:47
2024-11,HMM,浜松製作所,57559859,8660607,15.05,2025-12-04 14:09:47
2024-11,HTB,ホンダオートボディー,200116447,33636484,16.81,2025-12-04 14:09:47
2024-11,KMM,熊本製作所,54924232,28383664,51.68,2025-12-04 14:09:47
2024-11,STM,埼玉製作所,141404195,66133164,46.77,2025-12-04 14:09:47
2024-11,SZK,鈴鹿製作所,170071108,105968271,62.31,2025-12-04 14:09:47
2024-12,HMM,浜松製作所,41373604,3754094,9.07,2025-12-04 14:09:47
2024-12,HTB,ホンダオートボディー,129961479,5587488,4.3,2025-12-04 14:09:47
2024-12,KMM,熊本製作所,79485893,12440892,15.65,2025-12-04 14:09:47
2024-12,STM,埼玉製作所,242658017,122556127,50.51,2025-12-04 14:09:47
2024-12,SZK,鈴鹿製作所,124505923,40368636,32.42,2025-12-04 14:09:47
2025-01,HMM,浜松製作所,45648609,0,0.0,2025-12-04 14:09:47
2025-01,HTB,ホンダオートボディー,94366463,37322676,39.55,2025-12-04 14:09:47
2025-01,KMM,熊本製作所,60084899,4146964,6.9,2025-12-04 14:09:47
2025-01,STM,埼玉製作所,103950554,8293928,7.98,2025-12-04 14:09:47
2025-01,SZK,鈴鹿製作所,42127329,0,0.0,2025-12-04 14:09:47
2025-02,HMM,浜松製作所,44205176,2886869,6.53,2025-12-04 14:09:47
2025-02,HTB,ホンダオートボディー,305416377,130486276,42.72,2025-12-04 14:09:47
2025-02,KMM,熊本製作所,45247981,5897904,13.03,2025-12-04 14:09:47
2025-02,STM,埼玉製作所,186666730,146671573,78.57,2025-12-04 14:09:47
2025-02,SZK,鈴鹿製作所,221278123,122813187,55.5,2025-12-04 14:09:47
2025-03,HMM,浜松製作所,50790845,0,0.0,2025-12-04 14:09:47
2025-03,HTB,ホンダオートボディー,106312630,8293928,7.8,2025-12-04 14:09:47
2025-03,KMM,熊本製作所,40732399,26632724,65.38,2025-12-04 14:09:47
2025-03,STM,埼玉製作所,177208740,28155704,15.89,2025-12-04 14:09:47
2025-03,SZK,鈴鹿製作所,279962259,225342628,80.49,2025-12-04 14:09:47
2025-04,HMM,浜松製作所,39784661,8660607,21.77,2025-12-04 14:09:47
2025-04,HTB,ホンダオートボディー,158850534,92867738,58.46,2025-12-04 14:09:47
2025-04,KMM,熊本製作所,54002682,22485760,41.64,2025-12-04 14:09:47
2025-04,STM,埼玉製作所,266754050,14191832,5.32,2025-12-04 14:09:47
2025-04,SZK,鈴鹿製作所,242337907,134681760,55.58,2025-12-04 14:09:47
2025-05,HMM,浜松製作所,19305935,5773738,29.91,2025-12-04 14:09:47
2025-05,HTB,ホンダオートボディー,39073615,20734820,53.07,2025-12-04 14:09:47
2025-05,KMM,熊本製作所,35848197,0,0.0,2025-12-04 14:09:47
2025-05,STM,埼玉製作所,106254428,71604244,67.39,2025-12-04 14:09:47
2025-05,SZK,鈴鹿製作所,68206153,8206624,12.03,2025-12-04 14:09:47
2025-06,HMM,浜松製作所,49618052,0,0.0,2025-12-04 14:09:47
2025-06,HTB,ホンダオートボディー,159049399,74878160,47.08,2025-12-04 14:09:47
2025-06,KMM,熊本製作所,37875601,0,0.0,2025-12-04 14:09:47
2025-06,STM,埼玉製作所,154926683,20734820,13.38,2025-12-04 14:09:47
2025-06,SZK,鈴鹿製作所,106972261,28058700,26.23,2025-12-04 14:09:47
2025-07,HMM,浜松製作所,42671525,2886869,6.77,2025-12-04 14:09:47
2025-07,HTB,ホンダオートボディー,276031617,51218640,18.56,2025-12-04 14:09:47
2025-07,KMM,熊本製作所,67457278,39626544,58.74,2025-12-04 14:09:47
2025-07,STM,埼玉製作所,255360832,244670882,95.81,2025-12-04 14:09:47
2025-07,SZK,鈴鹿製作所,217736472,0,0.0,2025-12-04 14:09:47
2025-08,HMM,浜松製作所,76862882,25981821,33.8,2025-12-04 14:09:47
2025-08,HTB,ホンダオートボディー,54371303,37322676,68.64,2025-12-04 14:09:47
2025-08,KMM,熊本製作所,82109883,62112304,75.65,2025-12-04 14:09:47
2025-08,STM,埼玉製作所,139983065,24008740,17.15,2025-12-04 14:09:47
2025-08,SZK,鈴鹿製作所,61002561,4103312,6.73,2025-12-04 14:09:47
2025-09,HMM,浜松製作所,42581314,5773738,13.56,2025-12-04 14:09:47
2025-09,HTB,ホンダオートボディー,277631225,20734820,7.47,2025-12-04 14:09:47
2025-09,KMM,熊本製作所,62573068,12440892,19.88,2025-12-04 14:09:47
2025-09,STM,埼玉製作所,17048628,2948952,17.3,2025-12-04 14:09:47
2025-09,SZK,鈴鹿製作所,263434547,180007340,68.33,2025-12-04 14:09:47
2025-10,HMM,浜松製作所,46370327,0,0.0,2025-12-04 14:09:47
2025-10,HTB,ホンダオートボディー,164695089,20734820,12.59,2025-12-04 14:09:47
2025-10,KMM,熊本製作所,54555613,43220580,79.22,2025-12-04 14:09:47
2025-10,STM,埼玉製作所,156153803,31885544,20.42,2025-12-04 14:09:47
2025-10,SZK,鈴鹿製作所,253790320,178940295,70.51,2025-12-04 14:09:47
2025-11,HMM,浜松製作所,98424180,46189904,46.93,2025-12-04 14:09:47
2025-11,HTB,ホンダオートボディー,178290339,68233318,38.27,2025-12-04 14:09:47
2025-11,KMM,熊本製作所,46261682,2948952,6.37,2025-12-04 14:09:47
2025-11,STM,埼玉製作所,208119387,62005600,29.79,2025-12-04 14:09:47
2025-11,SZK,鈴鹿製作所,150832097,23741975,15.74,2025-12-04 14:09:47
2025-12,HTB,ホンダオートボディー,4607738,0,0.0,2025-12-04 14:09:47
2025-12,KMM,熊本製作所,17140782,0,0.0,2025-12-04 14:09:47
2025-12,STM,埼玉製作所,9952713,7095916,71.3,2025-12-04 14:09:47
